,user,topic0,topic1,topic2,topic3,cluster
0,ShobierOfficial,0,1,0,1,1
0,DrDigiPol,122,102,140,109,0
0,AirTraffic_Lee4,103,112,116,113,0
0,jeffraikes,115,139,107,125,0
0,TechNexus,122,148,120,108,0
0,theofficialfwa,5,6,5,3,1
0,RCAofficiel,95,105,100,94,0
0,angelinachapin,95,90,93,110,0
0,KMusonaofficial,26,23,36,30,1
0,lolashoneyin,115,112,112,102,0
0,Globe_Soccer,89,81,97,88,0
0,segadiallo,5,5,7,6,1
0,SituationRoomNg,120,116,114,112,0
0,,0,0,0,0,1
0,NigerianNavy,77,82,80,91,0
0,nigeriamfa,6,14,8,6,1
0,AdamGreen,103,126,102,118,0
0,HillaryClinton,128,126,104,122,0
0,richardbranson,122,118,134,127,0
0,GarShehu,136,126,141,100,0
0,MudegeSolo,89,100,88,108,0
0,osasuo,111,124,131,118,0
0,NigeriaPortal,50,37,28,32,1
0,digitalarun,136,128,117,111,0
0,lalaabeeee,106,112,125,117,0
0,CourtMarabella,115,113,95,91,0
0,chngin_the_wrld,127,119,124,106,0
0,Exp_Mark,105,113,126,128,0
0,ONECampaign,114,109,107,136,0
0,Tonnerre1934,48,45,39,43,1
0,TimAMolloy,122,119,116,129,0
0,BrettGursky,114,102,112,98,0
0,drfaisalshuaib,112,112,111,125,0
0,jacksonpbn,103,108,134,104,0
0,v_langeberg,111,94,137,128,0
0,girleffect,118,134,126,120,0
0,johnlegend,120,108,104,129,0
0,LJSelsky,86,88,124,95,0
0,ConstantOmari,0,1,0,0,1
0,NigeriaParks,27,43,38,42,1
0,nyannthierry,91,140,110,101,0
0,NGRSenate,88,100,85,109,0
0,NigeriaGov,14,13,16,8,1
0,seangunn,107,142,111,112,0
0,chrismbbcsport,130,116,114,106,0
0,jeremys,118,105,140,101,0
0,NickFilipowski,114,111,99,92,0
0,NeilGreigSport,108,105,107,111,0
0,JonathanMaberry,122,111,114,135,0
0,NITDANigeria,90,89,95,108,0
0,victorosimhen9,57,63,44,53,1
0,CyrielDessers,13,12,20,13,1
0,gtconway3d,11,21,10,7,1
0,badiucao,27,33,27,19,1
0,stevebrowndavis,122,135,129,116,0
0,UN_Nigeria,114,106,123,142,0
0,joycecook01,109,104,125,126,0
0,GatesMiddleEast,60,82,54,58,1
0,PoliceNG_CRU,122,89,144,118,0
0,firsnigeria,129,119,107,107,0
0,NigAirForce,135,108,119,118,0
0,oparanozie9,108,108,108,98,0
0,akosuaamoo,90,88,80,88,0
0,SandyDarity,0,1,0,0,1
0,estherclimate,125,129,113,120,0
0,OvieOmoAgege,95,84,104,89,0
0,FRSCNigeria,102,118,110,107,0
0,sportingjim,109,114,107,119,0
0,roger_milla_9,5,6,6,6,1
0,YaraShahidi,93,89,102,84,0
0,racheluranga,123,113,109,131,0
0,tundefashola,3,3,4,2,1
0,GlobalFund,116,124,102,108,0
0,MinOfInteriorNG,113,120,127,107,0
0,phkeane,111,92,121,132,0
0,Bevstar7,97,89,84,95,0
0,unfoundation,126,110,108,135,0
0,MirrorDarren,112,102,101,119,0
0,commonwealthsec,116,138,113,134,0
0,Herve_Renard_HR,23,38,21,23,1
0,SherylNYT,116,143,129,112,0
0,senjutisaha,75,86,82,79,0
0,Perroni247,111,101,96,87,0
0,hadisirika,91,105,115,109,0
0,CarolZhao95,112,104,108,110,0
0,MKabrik,77,73,72,73,0
0,raviubha,125,113,137,97,0
0,gabrielboric,0,0,2,0,1
0,ajuringelale,32,56,35,26,1
0,GwilymHMorgan,104,113,112,103,0
0,AfricanFtblHQ,107,137,110,122,0
0,wendykopp,125,131,125,124,0
0,holliepoetry,102,112,133,137,0
0,AubreyODay,113,113,115,99,0
0,sbkaufman,106,108,93,100,0
0,nimasaofficial,105,87,86,122,0
0,COSAFAMEDIA,82,77,102,76,0
0,WaterAidAmerica,112,125,125,131,0
0,HenshawKate,81,69,91,77,0
0,LigaliOrg,123,114,132,113,0
0,marega91,6,2,6,6,1
0,ChifeDr,123,102,121,101,0
0,Mo_IbrahimFdn,123,124,126,115,0
0,MinofPoliceNG,32,34,30,38,1
0,akandeoj,135,123,116,108,0
0,cchukudebelu,120,117,130,107,0
0,EniAlu,120,127,112,107,0
0,ATrinKTVU,121,126,94,124,0
0,EndPolioNow,115,122,130,137,0
0,FUS_OFFICIEL,3,3,0,2,1
0,NonieMG,29,25,30,26,1
0,damonhackGC,118,100,122,98,0
0,mectos,92,81,96,103,0
0,PenComNig,120,105,121,115,0
0,L0uis3B,90,87,78,96,0
0,jacindaardern,124,127,134,109,0
0,TradeOfficeNG,111,118,112,123,0
0,MilkenInstitute,115,113,128,125,0
0,ighalojude,71,57,71,67,0
0,InsideWorldFoo1,24,25,21,15,1
0,FMPRng,134,121,124,108,0
0,nigerianstat,26,30,38,35,1
0,EnyimbaFC,117,136,93,123,0
0,FrenzziiiBull,101,121,94,107,0
0,QueenRania,54,52,50,30,1
0,HHShkMohd,46,37,28,39,1
0,WHOAFRO,126,122,126,129,0
0,Commonwealth18,139,124,125,110,0
0,moodewji,67,80,67,51,0
0,PetroleumSummit,116,117,115,106,0
0,Ramon_Vega71,112,102,103,109,0
0,remidupre,1,5,3,3,1
0,matthewherper,122,120,108,117,0
0,ByMoriah,123,121,113,111,0
0,MSME_ClinicsNg,28,21,28,28,1
0,MMViverito,92,87,91,87,0
0,allisonemiller,115,105,108,112,0
0,farnazfassihi,114,116,130,114,0
0,CAS_AMSadique,53,58,65,66,1
0,Joanwestenberg,106,115,115,104,0
0,omaakatugba,101,88,100,98,0
0,NNPCgroup,73,65,76,73,0
0,kathygriffin,118,113,110,115,0
0,Jbannerman_,107,93,111,76,0
0,zammit_marc,124,135,123,119,0
0,NGSA_ng,43,37,44,37,1
0,NegarMortazavi,122,105,94,109,0
0,GaviSeth,101,131,105,118,0
0,GEJonathan,95,117,107,113,0
0,SenItaEnang,111,98,101,113,0
0,NiyiAdebayo_,48,58,48,34,1
0,kfayemi,117,120,110,122,0
0,kbarlowkstp,122,95,114,106,0
0,obyezeks,134,113,114,108,0
0,NAMANIGERIA,118,126,105,119,0
0,4EyedLiwa_,104,95,119,98,0
0,frankdunneTVSM,111,134,116,121,0
0,BayoOlupohunda,114,117,129,113,0
0,ajayi_jnr_,21,18,21,23,1
0,CleanAirMoms,96,112,116,108,0
0,WFP,140,118,101,144,0
0,TCN_NIGERIA,115,110,139,112,0
0,CalvinEmeka,109,103,124,118,0
0,kemiolunloyo,127,104,117,131,0
0,ultra_Lauren,125,118,113,128,0
0,sethbannon,117,88,99,113,0
0,YZerguini,11,8,15,10,1
0,larrybrilliant,136,109,123,117,0
0,KatlynnSimone,76,76,67,81,0
0,ekitistategov,100,96,110,100,0
0,ISMcGregor,124,110,115,100,0
0,WeDontHaveTime,123,115,115,101,0
0,WorldFoodPrize,125,133,113,118,0
0,BarackObama,114,121,130,113,0
0,nipcng,90,100,138,95,0
0,nirsalconnect,119,126,122,135,0
0,IBelizeit,114,127,121,108,0
0,jeeabbeylee,124,109,120,102,0
0,Oxfam,114,122,132,129,0
0,Iam_toluu,67,85,89,99,0
0,YakubDogara,127,110,94,111,0
0,charitywater,131,112,131,124,0
0,johndoerr,112,134,127,116,0
0,DMONigeria,46,52,59,45,1
0,bpsr_ng,103,96,103,112,0
0,kawowosports,114,118,112,130,0
